Facility ID,Station,Primary Network Affiliation,Market Rank,Licensed State,Latitude (degrees),Longitude (degrees)
60111,WVPT     ,PBS (US),178,VA,38.165000,-79.314167
11970,WXXA-TV  ,FOX (US),59,NY,42.625278,-74.010556
36533,WLAJ     ,ABC (US),113,MI,42.420222,-84.523639
18286,KTWO-TV  ,ABC (US),196,WY,42.740556,-106.359444
4108,WTTA     ,MyNetworkTV (US),11,FL,27.842222,-82.262500
36395,WUCW     ,The CW (US),15,MN,45.062222,-93.139167
56524,KDNL-TV  ,ABC (US),21,MO,38.580556,-90.329167
73907,WPNT     ,MyNetworkTV (US),23,PA,40.495278,-80.004722
73875,WPGH-TV  ,FOX (US),23,PA,40.495278,-80.004722
73205,WLFL     ,The CW (US),25,NC,35.674444,-78.527778
54963,WRDC     ,MyNetworkTV (US),25,NC,35.676389,-78.535556
10758,WBFF     ,FOX (US),26,MD,39.336111,-76.649722
